Address,SBL #,Sale Price,Sale Date,Total Assessed Value,Property Type Building Style,Lot Size,Year Built,SQFT,Bedrooms-Baths-Fireplaces
"25 C ST, Buffalo",100.84-6-6,"$29,900 ",12/1/1989,"$16,000 ",Residential - 1 Family Res,30 x 140,1910,"1,440",4/1/2000
"41 BOONE, Buffalo",123.69-4-19.1,"$64,173 ",12/1/1989,"$45,000 ",Residential - 1 Family Res,60 x 141,1990,"1,741",3 / 1.5 / 1
"63 RUSPIN, Buffalo",90.49-5-14,"$66,900 ",12/1/1989,"$61,800 ",Residential - 2 Family Res,35 x 125,1925,"2,289",5/2/2000
"396 PORTER, Buffalo",99.75-5-3,"$120,000 ",12/1/1989,"$100,000 ",Residential - 1 Family Res,38 x 0,1891,"3,041",5 / 1.5 / 0
"13 CLYDE, Buffalo",90.39-2-15,"$250,000 ",12/1/1989,"$2,400 ",Vacant Land - Vacant indus,45.53 x 0,,,
"348 HASTINGS, Buffalo",90.35-4-29,"$50,000 ",12/1/1989,"$48,000 ",Residential - 1 Family Res,50 x 105,1942,"1,152",2/1/2000
"88 NINETEENTH, Buffalo",99.35-9-20,"$60,000 ",12/1/1989,"$35,000 ",Residential - 2 Family Res,30 x 106,1920,"2,474",6/2/2001
"38 HODGE, Buffalo",100.46-2-14,"$165,000 ",12/1/1989,"$230,000 ",Residential - 1 Family Res,40 x 100,1888,"3,153",3 / 3.5 / 0
"228 HOYT, Buffalo",88.84-7-8,"$59,000 ",12/1/1989,"$61,000 ",Residential - 1 Family Res,27.5 x 89,1900,"2,158",4/2/2000
"11 HELEN, Buffalo",88.82-5-1,"$25,194 ",12/1/1989,"$2,200 ",Vacant Land - Res vac land,30.3 x 78.94,,,
"128 FISHER, Buffalo",90.83-2-19,"$35,000 ",12/1/1989,"$38,900 ",Residential - 1 Family Res,30 x 111,1923,"1,089",3/1/2000
"476 HICKORY, Buffalo",111.40-3-17,"$2,200 ",12/1/1989,"$1,700 ",Vacant Land - Res vac land,30 x 120,,,
"193 BUTLER, Buffalo",100.35-2-21,"$35,000 ",12/1/1989,"$42,600 ",Residential - 2 Family Res,35 x 105,1932,"2,922",8/2/2000
"23 ROSS, Buffalo",77.50-2-18.1,"$52,000 ",12/18/1989,"$49,000 ",Residential - 2 Family Res,26 x 100,1920,"1,408",3/2/2000
"361 HUMBOLDT, Buffalo",89.75-4-2,"$39,900 ",2/1/1990,"$59,000 ",Residential - 2 Family Res,33.75 x 76,1920,"2,300",6/2/2000
"112 FENNIMORE, Buffalo",90.34-7-19,"$39,900 ",2/1/1990,"$42,700 ",Residential - 1 Family Res,30 x 105,1927,"1,240",3 / 1.5 / 0
"775 TIFFT, Buffalo",133.38-3-13,"$86,000 ",2/1/1990,"$64,000 ",Residential - 2 Family Res,35 x 156,1920,"2,195",6/2/2000
"38 CLARENDON, Buffalo",89.63-1-11,"$150,000 ",2/1/1990,"$210,000 ",Residential - 1 Family Res,50 x 124,1920,"2,300",3/2/2001
"403 CUMBERLAND, Buffalo",133.33-2-16,"$50,000 ",2/1/1990,"$79,300 ",Residential - 2 Family Res,35 x 120,1900,"2,596",6/2/2000
"77 MILFORD, Buffalo",133.24-5-1,"$75,000 ",2/1/1990,"$73,700 ",Residential - 2 Family Res,37.5 x 128,1928,"2,505",6/2/2000
"70 STRATHMORE, Buffalo",133.32-8-42,"$55,000 ",2/1/1990,"$64,000 ",Residential - 1 Family Res,32 x 105,1920,"1,080",3 / 1.5 / 0
"2 STONEBORO, Buffalo",89.36-3-2,"$80,000 ",2/1/1990,"$20,000 ",Commercial - Auto body,230 x 150,,,
"75 DEPEW EAST, Buffalo",90.21-4-11,"$98,500 ",2/1/1990,"$81,000 ",Residential - 2 Family Res,40 x 128,1925,"2,568",6/2/2000
"77 PAUL, Buffalo",123.72-5-22,"$62,900 ",2/1/1990,"$71,000 ",Residential - 1 Family Res,34 x 125,1918,"1,882",5/1/2001
"105 WINSTON, Buffalo",78.60-4-22,"$80,000 ",2/1/1990,"$140,000 ",Residential - 1 Family Res,40 x 130,1926,"1,798",3/1/2001
"474 NORFOLK, Buffalo",90.63-3-2.1,"$43,405 ",2/1/1990,"$39,000 ",Residential - 1 Family Res,145 x 88.25,1945,"1,584",3/1/2000
"221 HUTCHINSON, Buffalo",90.32-6-14,"$49,900 ",2/1/1990,"$4,000 ",Vacant Land - Res vac land,31 x 110,,,
"102 LADNER, Buffalo",133.54-4-27,"$50,900 ",2/1/1990,"$44,600 ",Residential - 2 Family Res,33 x 0,1920,"1,673",4/2/2000
"42 ALICE, Buffalo",90.34-1-16,"$38,500 ",2/1/1990,"$41,800 ",Residential - 1 Family Res,32 x 105,1924,"1,100",2/1/2000
"101 WHITFIELD, Buffalo",133.56-1-4,"$73,000 ",2/1/1990,"$57,200 ",Residential - 1 Family Res,40 x 119,1950,"1,066",3/1/2000
"167 ORLEANS, Buffalo",90.34-2-32,"$61,900 ",2/1/1990,"$64,000 ",Residential - 1 Family Res,45 x 175,1920,"2,260",5 / 1.5 / 0
"38 MERIDEN, Buffalo",133.33-2-21,"$78,000 ",2/1/1990,"$73,400 ",Residential - 2 Family Res,34 x 145,1920,"2,412",6/2/2000
"38 LEONARD, Buffalo",90.34-3-10,"$70,500 ",2/1/1990,"$59,000 ",Residential - 2 Family Res,34 x 175,1925,"2,287",4/2/2000
"37 BIDWELL, Buffalo",89.77-5-6,"$178,000 ",2/1/1990,"$280,000 ",Residential - 2 Family Res,35 x 182,1900,"4,398",5/3/2001
"23 JOHN PAUL COURT, Buffalo",111.68-1-33,"$58,200 ",2/1/1990,"$68,000 ",Residential - 1 Family Res,40 x 125.17,1990,"1,274",3 / 1.5 / 0
"26 FORDHAM, Buffalo",89.30-1-20,"$112,000 ",2/1/1990,"$158,000 ",Residential - 1 Family Res,40 x 122,1920,"1,984",3/2/2001
"763 ABBOTT, Buffalo",133.57-1-19,"$65,000 ",2/1/1990,"$79,000 ",Residential - 1 Family Res,37.07 x 116,1950,"1,300",3/1/2000
"1251 BROADWAY, Buffalo",112.30-4-3,"$5,000 ",2/1/1990,"$9,300 ",Vacant Land - Ind vac w/imp,26.45 x 97,,,
"1923 SENECA, Buffalo",123.73-7-6,"$80,000 ",2/1/1990,"$65,000 ",Commercial - Det row bldg,33.06 x 126,,,
"265 GERMANIA, Buffalo",133.05-2-1,"$233,200 ",2/1/1990,"$75,000 ",Commercial - Auto body,240 x 468,,,
"281 CABLE, Buffalo",123.34-3-24,"$55,500 ",2/1/1990,"$45,900 ",Residential - 2 Family Res,30 x 100,1920,"1,760",3/2/2000
"1779 CLINTON, Buffalo",123.33-6-6,"$218,475 ",2/1/1990,"$189,000 ",Commercial - Mini-mart,130 x 100,,,
"562 MARILLA, Buffalo",133.72-1-57,"$54,900 ",2/1/1990,"$59,500 ",Residential - 1 Family Res,32 x 117,1925,720,3/1/2000
"511 HEWITT, Buffalo",79.82-4-9,"$65,000 ",2/1/1990,"$72,000 ",Residential - 1 Family Res,48 x 136,1950,"2,104",4 / 2.5 / 1
"91 ROESCH, Buffalo",77.40-3-1,"$55,000 ",2/1/1990,"$49,000 ",Residential - 1 Family Res,62.3 x 45,1963,"1,365",3 / 1.5 / 0
"393 FULTON, Buffalo",122.33-4-9,"$14,000 ",2/1/1990,"$3,100 ",Vacant Land - Res vac land,32 x 151,,,
"2992 BAILEY, Buffalo",90.41-1-2,"$45,000 ",2/1/1990,"$35,000 ",Commercial - Converted Res,32 x 150,,,
"32 RUSPIN, Buffalo",90.49-4-30,"$72,000 ",2/1/1990,"$58,000 ",Residential - 2 Family Res,35 x 125,1940,"2,445",6/2/2000
"117 HENRIETTA, Buffalo",77.41-2-88,"$54,300 ",2/1/1990,"$39,000 ",Residential - 1 Family Res,30 x 132,1920,"1,154",3/1/2000
"177 SHEFFIELD, Buffalo",133.56-2-31,"$64,000 ",2/1/1990,"$65,900 ",Residential - 2 Family Res,30 x 115,1910,"2,546",6/2/2000
"525 DARTMOUTH, Buffalo",79.82-3-14,"$41,000 ",2/1/1990,"$41,000 ",Residential - 1 Family Res,30 x 108,1925,"1,134",2/1/2000
"422 ONTARIO, Buffalo",77.41-3-40.1,"$284,739 ",2/1/1990,"$16,400 ",Vacant Land - Vacant comm,149.6 x 110,,,
"313 LONGNECKER, Buffalo",112.34-2-40,"$40,100 ",2/1/1990,"$42,000 ",Residential - 2 Family Res,30 x 115,1905,"2,021",4/2/2000
"98 WESTON, Buffalo",90.57-4-2,"$45,000 ",2/1/1990,"$51,000 ",Residential - 1 Family Res,45 x 110,1946,"1,297",3 / 1.5 / 0
"55 COLFAX, Buffalo",90.54-1-13,"$34,000 ",2/1/1990,"$38,100 ",Residential - 2 Family Res,40 x 104,1910,"1,767",6/2/2000
"357 GOLD, Buffalo",112.34-5-59,"$36,900 ",2/1/1990,"$43,000 ",Residential - 1 Family Res,30 x 134,1900,"1,066",2/1/2000
"140 EASTON, Buffalo",90.65-2-12,"$56,000 ",2/1/1990,"$50,000 ",Residential - 1 Family Res,35.96 x 110,1950,"1,169",3/1/2001
"124 DURHAM, Buffalo",90.62-6-16,"$30,000 ",2/1/1990,"$39,000 ",Residential - 2 Family Res,40 x 125,1920,"2,522",6/2/2000
"151 LONGNECKER, Buffalo",112.50-2-49,"$48,000 ",2/1/1990,"$49,900 ",Residential - 1 Family Res,30 x 115,1910,"2,000",4/2/2000
"917 GENESEE, Buffalo",100.83-4-3,"$13,000 ",2/1/1990,"$14,500 ",Commercial - Auto dealer,132.15 x 55,,,
"58 FISHER, Buffalo",101.27-2-15,"$58,000 ",2/1/1990,"$36,000 ",Residential - 1 Family Res,30 x 111,1910,"1,075",3/1/2000
"191 MILLER, Buffalo",101.71-7-29,"$18,000 ",2/1/1990,"$1,400 ",Vacant Land - Res vac land,30 x 97,,,
"109 LORD, Buffalo",111.75-4-1.2,"$8,000 ",2/1/1990,"$1,200 ",Vacant Land - Res vac land,25.66 x 75,,,
"12 JOHN PAUL COURT, Buffalo",111.68-1-55,"$1,600 ",2/1/1990,"$65,000 ",Residential - 1 Family Res,40 x 100,1990,"1,274",3 / 1.5 / 0
"16 JOHN PAUL COURT, Buffalo",111.68-1-54,"$61,740 ",2/1/1990,"$70,000 ",Residential - 1 Family Res,40 x 100,1990,"1,274",3 / 1.5 / 1
"38 BLAKE, Buffalo",101.33-6-17,"$50,000 ",2/1/1990,"$39,600 ",Residential - 2 Family Res,34.3 x 110,1920,"2,662",7/2/2000
"27 JOHN PAUL COURT, Buffalo",111.68-1-32,"$62,000 ",2/1/1990,"$68,000 ",Residential - 1 Family Res,40 x 125.17,1990,"1,386",3 / 1.5 / 0
"132 SHUMWAY, Buffalo",111.59-3-13,"$10,600 ",2/1/1990,"$1,700 ",Vacant Land - Res vac land,30 x 105,,,
"88 ENGLEWOOD, Buffalo",79.46-4-11,"$67,000 ",2/1/1990,"$58,000 ",Residential - 2 Family Res,30 x 115,1920,"2,162",6/2/2000
"909 SMITH, Buffalo",111.59-5-47,"$19,000 ",2/1/1990,"$1,700 ",Vacant Land - Res vac land,30 x 108,,,
"17 DEERFIELD, Buffalo",90.70-5-27,"$66,500 ",2/1/1990,"$47,800 ",Residential - 3 Family Res,39 x 125,1920,"2,554",6/3/2000
"468 SYCAMORE, Buffalo",111.34-1-33,"$17,000 ",2/1/1990,"$1,700 ",Vacant Land - Vacant comm,34.68 x 72,,,
"32 HAMLIN, Buffalo",100.26-3-51,"$46,900 ",2/1/1990,"$51,600 ",Residential - 1 Family Res,36 x 105,1920,"1,537",3 / 1.5 / 0
"434 HUNTINGTON, Buffalo",78.74-4-7,"$112,000 ",2/1/1990,"$115,000 ",Residential - 2 Family Res,37.5 x 237,1910,"2,496",6/2/2000
"485 WILLIAM, Buffalo",111.66-1-4,"$4,300 ",2/1/1990,"$3,100 ",Vacant Land - Vacant comm,25 x 125,,,
"731 MAIN, Buffalo",111.30-3-8.12,"$410,000 ",2/1/1990,"$350,000 ",Commercial - Att row bldg,94.14 x 198.36,,,
"161 GRANT, Buffalo",99.27-7-41,"$335,074 ",2/1/1990,"$62,344 ",Vacant Land - Com vac w/imp,181 x 100,,,
"21 EUGENE, Buffalo",78.38-3-40,"$67,485 ",2/1/1990,"$70,000 ",Residential - 1 Family Res,40 x 120,1952,947,3/1/2000
"48 ST FLORIAN, Buffalo",77.76-2-7,"$72,000 ",2/1/1990,"$57,000 ",Residential - 2 Family Res,32.5 x 130,1920,"1,898",4/2/2000
"898 PROSPECT, Buffalo",99.49-4-10,"$10,990 ",2/1/1990,"$28,700 ",Residential - 1 Family Res,25 x 100,1905,"1,419",4/1/2000
"39 SEATTLE, Buffalo",79.37-3-2,"$150,000 ",2/1/1990,"$31,300 ",Vacant Land - Res vac land,595.65 x 105,,,
"14 ROMMEL, Buffalo",112.22-4-13,"$33,000 ",2/1/1990,"$16,300 ",Residential - 2 Family Res,30 x 93,1930,"1,586",5/2/2000
"40 HARRIETT, Buffalo",90.75-1-19,"$69,900 ",2/1/1990,"$69,600 ",Residential - 1 Family Res,60 x 133,1927,"1,984",4 / 1.5 / 1
"460 MICHIGAN, Buffalo",111.55-8-2,"$72,500 ",2/1/1990,"$36,000 ",Vacant Land - Com vac w/imp,60 x 100,,,
"1948 GENESEE, Buffalo",101.41-3-20,"$24,500 ",2/1/1990,"$12,400 ",Commercial - 1 use sm bld,30 x 120,,,
"1269 SYCAMORE, Buffalo",101.70-8-5,"$19,500 ",2/1/1990,"$1,600 ",Vacant Land - Res vac land,32.41 x 0,,,
"275 LOEPERE, Buffalo",101.69-3-55,"$22,900 ",2/1/1990,"$17,000 ",Residential - 1 Family Res,30 x 108,1880,"1,506",3/1/2000
"358 GOODYEAR, Buffalo",101.63-3-2,"$22,000 ",2/1/1990,"$1,400 ",Vacant Land - Res vac land,30 x 110,,,
"158 WALDEN, Buffalo",101.62-1-29,"$22,000 ",2/1/1990,"$1,100 ",Vacant Land - Res vac land,32.5 x 130,,,
"359 DOAT, Buffalo",101.58-1-1,"$75,000 ",2/1/1990,"$59,900 ",Residential - 1 Family Res,71.8 x 115,1950,"1,922",3 / 1.5 / 1
"150 WESLEY, Buffalo",78.76-3-9,"$96,500 ",2/1/1990,"$63,300 ",Commercial - Inn/lodge,40 x 100,,,
"441 KOONS, Buffalo",101.55-6-27,"$22,000 ",2/1/1990,"$1,400 ",Vacant Land - Res vac land,30 x 100,,,
"214 PEACH, Buffalo",100.73-6-15,"$21,000 ",2/1/1990,"$1,600 ",Vacant Land - Res vac land,29 x 100,,,
"169 TIMON, Buffalo",100.66-2-37,"$27,000 ",2/1/1990,"$21,000 ",Residential - 2 Family Res,30 x 0,1920,"2,473",6/2/2000
"1533 GENESEE, Buffalo",101.55-2-30,"$2,350 ",2/1/1990,"$4,600 ",Vacant Land - Vacant comm,39.73 x 142,,,
"1119 DELAWARE, Buffalo",100.39-1-36,"$193,000 ",2/1/1990,"$200,000 ",Residential - 1 Family Res,27.66 x 55,1988,"1,840",2 / 2.5 / 1
"228 THOMPSON, Buffalo",88.25-5-39,"$35,000 ",2/1/1990,"$28,000 ",Residential - 1 Family Res,25 x 80,1900,"1,309",3/1/2000
"135 LOVERING, Buffalo",78.56-2-13,"$110,000 ",2/1/1990,"$140,000 ",Residential - 2 Family Res,36 x 150,1920,"3,858",6/2/2001
"595 GOODYEAR, Buffalo",101.39-3-42,"$17,000 ",2/1/1990,"$2,300 ",Vacant Land - Res vac land,30 x 109,,,
"40 HAZELWOOD, Buffalo",101.26-3-23,"$39,900 ",2/1/1990,"$35,000 ",Residential - 1 Family Res,31 x 100,1927,"1,285",4/1/2000
"141 HAGEN, Buffalo",101.26-7-39,"$39,950 ",2/1/1990,"$15,000 ",Residential - 1 Family Res,37 x 89,1925,961,2/1/2000
"363 MOSELLE, Buffalo",101.39-1-54,"$24,500 ",2/1/1990,"$2,200 ",Vacant Land - Res vac land,30 x 105,,,
"49 KERNS, Buffalo",101.33-2-16,"$32,000 ",2/1/1990,"$25,000 ",Residential - 1 Family Res,30 x 173,1919,"1,058",4/1/2000
"259 ASHLAND, Buffalo",100.37-5-14,"$86,500 ",2/1/1990,"$130,000 ",Residential - 3 Family Res,34.5 x 100,1890,"2,963",7/3/2000
"291 OGDEN SOUTH, Buffalo",123.43-7-25,"$32,500 ",3/1/1990,"$5,100 ",Vacant Land - Res vac land,41.25 x 104,,,
"298 WEIMAR, Buffalo",123.34-1-8,"$77,000 ",3/1/1990,"$75,900 ",Residential - 1 Family Res,60 x 100,1900,"2,260",3/1/2000
"26 PROGRESSIVE, Buffalo",77.65-7-54,"$53,000 ",3/1/1990,"$49,600 ",Residential - 1 Family Res,29 x 105,1900,"1,600",4/1/2000
"1077 SMITH, Buffalo",111.43-7-45,"$1,000 ",3/1/1990,"$1,700 ",Vacant Land - Res vac land,30 x 108,,,
"111 STANTON, Buffalo",111.59-3-47,"$15,600 ",3/1/1990,"$2,400 ",Residential - 2 Family Res,30 x 105,1898,"1,745",6/2/2000
"610 HOPKINS, Buffalo",123.77-6-16,"$15,000 ",3/1/1990,"$2,800 ",Vacant Land - Com vac w/imp,30 x 108,,,
"159 FOUGERON, Buffalo",101.53-4-6,"$8,557 ",3/1/1990,$900 ,Vacant Land - Res vac land,30 x 80,,,
"392 CUMBERLAND, Buffalo",133.33-3-25,"$88,000 ",3/1/1990,"$96,700 ",Residential - 2 Family Res,40 x 120,1920,"3,456",6/2/2000
"2409 SENECA, Buffalo",133.43-4-17,"$52,000 ",3/1/1990,"$48,600 ",Residential - 2 Family Res,32.5 x 153,1900,"2,434",5/2/2000
"34 PEACH, Buffalo",111.25-11-5.12,"$25,000 ",3/1/1990,"$63,000 ",Residential - 1 Family Res,50 x 100,1990,"1,400",3 / 1.5 / 0
"81 ORANGE, Buffalo",111.25-2-16.1,"$25,000 ",3/1/1990,"$63,000 ",Residential - 1 Family Res,50 x 100,1990,"1,440",3 / 1.5 / 0
"127 MAPLE, Buffalo",111.24-9-37.12,"$25,000 ",3/1/1990,"$64,000 ",Residential - 1 Family Res,50 x 100,1990,"1,780",3 / 1.5 / 0
"749 MCKINLEY PKWY, Buffalo",133.23-6-17,"$98,000 ",3/1/1990,"$100,100 ",Residential - 2 Family Res,68.91 x 108,1920,"2,876",6/2/2000
"152 DEWITT, Buffalo",88.82-6-3,"$52,000 ",3/1/1990,"$3,500 ",Vacant Land - Res vac land,35 x 140,,,
"155 FIFTEENTH, Buffalo",99.52-1-22,"$30,000 ",3/1/1990,"$25,000 ",Residential - 2 Family Res,25 x 0,1900,"1,044",4/2/2000
"530 MOSELLE, Buffalo",101.22-4-14,"$28,000 ",3/1/1990,"$21,500 ",Residential - 2 Family Res,33 x 100,1920,"1,808",5/2/2000
"484 DOWNING, Buffalo",133.74-4-21,"$92,000 ",3/1/1990,"$89,700 ",Residential - 1 Family Res,40 x 146,1915,"1,540",4 / 1.5 / 0
"234 BOX, Buffalo",101.38-1-41,"$15,000 ",3/1/1990,"$1,100 ",Vacant Land - Res vac land,30 x 120,,,
"71 NORTHRUP PL, Buffalo",79.63-6-10,"$77,000 ",3/1/1990,"$59,000 ",Residential - 1 Family Res,35 x 110,1900,"1,559",3 / 1.5 / 0
"92 CONNELLY, Buffalo",90.56-2-37,"$42,000 ",3/1/1990,"$44,500 ",Residential - 1 Family Res,34 x 128,1927,"1,431",3/1/2000
"372 BRYANT, Buffalo",100.53-1-22,"$94,570 ",3/1/1990,"$175,000 ",Residential - 3 Family Res,35 x 188,1900,"4,280",4/3/2000
"356 CARLTON, Buffalo",100.81-7-28,"$25,000 ",3/1/1990,"$60,000 ",Residential - 1 Family Res,64 x 100,1991,"1,400",3 / 1.5 / 0
"140 LEONARD, Buffalo",90.26-3-15,"$73,500 ",3/1/1990,"$53,000 ",Residential - 2 Family Res,39 x 200,1935,"2,181",4/2/2000
"849 COLUMBUS PKWY, Buffalo",99.58-7-6,"$69,000 ",3/1/1990,"$51,900 ",Residential - 2 Family Res,35 x 132,1896,"2,441",5/2/2001
"83 UNIVERSITY AVE, Buffalo",79.47-1-13,"$123,000 ",3/1/1990,"$166,900 ",Residential - 1 Family Res,40 x 120,1920,"1,761",4 / 1.5 / 1
"254 ROUNDS, Buffalo",79.66-3-31,"$55,000 ",3/1/1990,"$50,000 ",Residential - 1 Family Res,32 x 110,1930,"1,348",3/1/2000
"35 COPSEWOOD, Buffalo",90.40-7-30,"$38,000 ",3/1/1990,"$41,000 ",Residential - 1 Family Res,32 x 120,1925,"1,324",3/1/2000
"590 WYOMING, Buffalo",90.54-2-14,"$37,500 ",3/1/1990,"$38,100 ",Commercial - Apartment,35 x 130,,,
"72 LOCUST, Buffalo",111.24-8-6.14,"$25,000 ",3/1/1990,"$56,000 ",Residential - 1 Family Res,45 x 100,1990,"1,268",3 / 1.5 / 0
"77 LEMON, Buffalo",111.24-6-22.11,"$25,000 ",3/1/1990,"$61,000 ",Residential - 1 Family Res,50 x 100,1991,"1,400",3 / 1.5 / 0
"140 MULBERRY, Buffalo",111.24-3-15.1,"$25,000 ",3/1/1990,"$61,000 ",Residential - 1 Family Res,50 x 100,1991,"1,432",3 / 1.5 / 0
"313 LANDON, Buffalo",100.52-4-4,"$38,000 ",3/1/1990,"$36,000 ",Residential - 2 Family Res,30 x 100,1900,"2,248",4/2/2000
"25 DELANEY, Buffalo",78.42-1-25,"$85,000 ",3/1/1990,"$92,000 ",Residential - 1 Family Res,46 x 120,1947,"1,377",3/1/2000
